"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1628","checkEmptyLogin","QASE UI Suite1","Sun Jul 20 14:22:27 GMT 2025","passed","Sun Jul 20 14:22:28 GMT 2025","tests.ui.LoginTest","All UI tests","tests.ui.LoginTest","checkEmptyLogin"
"","1558","goToLoginPage","QASE UI Suite1","Sun Jul 20 14:20:50 GMT 2025","passed","Sun Jul 20 14:20:51 GMT 2025","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","goToLoginPage"
"","2408","resetPasswordWithValideEmail","QASE UI Suite1","Sun Jul 20 14:20:44 GMT 2025","passed","Sun Jul 20 14:20:46 GMT 2025","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithValideEmail"
"","1655","checkEmptyLogin","QASE UI Suite1","Sun Jul 20 14:22:25 GMT 2025","passed","Sun Jul 20 14:22:27 GMT 2025","tests.ui.LoginTest","All UI tests","tests.ui.LoginTest","checkEmptyLogin"
"","17046","deleteProject","QASE UI Suite1","Sun Jul 20 14:21:26 GMT 2025","failed","Sun Jul 20 14:21:43 GMT 2025","tests.ui.ProjectsTest","All UI tests","tests.ui.ProjectsTest","deleteProject"
"","16999","checkSearchProject","QASE UI Suite1","Sun Jul 20 14:21:08 GMT 2025","failed","Sun Jul 20 14:21:25 GMT 2025","tests.ui.ProjectsTest","All UI tests","tests.ui.ProjectsTest","checkSearchProject"
"","2081","resetPasswordWithInvalideEmail","QASE UI Suite1","Sun Jul 20 14:20:46 GMT 2025","passed","Sun Jul 20 14:20:48 GMT 2025","tests.ui.ResetPasswordTest","All UI tests","tests.ui.ResetPasswordTest","resetPasswordWithInvalideEmail"
"","1560","checkTransitionToResetPassword","QASE UI Suite1","Sun Jul 20 14:22:32 GMT 2025","passed","Sun Jul 20 14:22:33 GMT 2025","tests.ui.LoginTest","All UI tests","tests.ui.LoginTest","checkTransitionToResetPassword"
"","17113","checkValideLoginWithRemember","QASE UI Suite1","Sun Jul 20 14:22:00 GMT 2025","failed","Sun Jul 20 14:22:17 GMT 2025","tests.ui.LoginTest","All UI tests","tests.ui.LoginTest","checkValideLoginWithRemember"
"","1708","checkSignUpWithInvalidePassword","QASE UI Suite1","Sun Jul 20 14:20:40 GMT 2025","passed","Sun Jul 20 14:20:42 GMT 2025","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalidePassword"
"","1537","checkInvalideLoginWithEmail","QASE UI Suite1","Sun Jul 20 14:22:22 GMT 2025","passed","Sun Jul 20 14:22:23 GMT 2025","tests.ui.LoginTest","All UI tests","tests.ui.LoginTest","checkInvalideLoginWithEmail"
"","1838","checkSignUpWithInvalideEmail","QASE UI Suite1","Sun Jul 20 14:20:38 GMT 2025","passed","Sun Jul 20 14:20:40 GMT 2025","tests.ui.SignUpTest","All UI tests","tests.ui.SignUpTest","checkSignUpWithInvalideEmail"
"","1600","checkTransitionToCreateAccount","QASE UI Suite1","Sun Jul 20 14:22:33 GMT 2025","passed","Sun Jul 20 14:22:35 GMT 2025","tests.ui.LoginTest","All UI tests","tests.ui.LoginTest","checkTransitionToCreateAccount"
"","1474","checkEmptyLogin","QASE UI Suite1","Sun Jul 20 14:22:23 GMT 2025","passed","Sun Jul 20 14:22:25 GMT 2025","tests.ui.LoginTest","All UI tests","tests.ui.LoginTest","checkEmptyLogin"
"","1548","checkInvalideLoginWithEmail","QASE UI Suite1","Sun Jul 20 14:22:17 GMT 2025","passed","Sun Jul 20 14:22:18 GMT 2025","tests.ui.LoginTest","All UI tests","tests.ui.LoginTest","checkInvalideLoginWithEmail"
"","16897","checkValideLogin","QASE UI Suite1","Sun Jul 20 14:21:43 GMT 2025","failed","Sun Jul 20 14:22:00 GMT 2025","tests.ui.LoginTest","All UI tests","tests.ui.LoginTest","checkValideLogin"
"","1575","checkInvalideLoginWithEmail","QASE UI Suite1","Sun Jul 20 14:22:19 GMT 2025","passed","Sun Jul 20 14:22:20 GMT 2025","tests.ui.LoginTest","All UI tests","tests.ui.LoginTest","checkInvalideLoginWithEmail"
"Проверка успешного открытия тест-кейса","26288","checkOpenFormCreateCase","QASE UI Suite1","Sun Jul 20 14:19:55 GMT 2025","failed","Sun Jul 20 14:20:21 GMT 2025","tests.ui.CreateCaseTest","All UI tests","tests.ui.CreateCaseTest","checkOpenFormCreateCase"
"","16925","createProject","QASE UI Suite1","Sun Jul 20 14:20:51 GMT 2025","failed","Sun Jul 20 14:21:08 GMT 2025","tests.ui.ProjectsTest","All UI tests","tests.ui.ProjectsTest","createProject"
